word,palabra,sentiment,lexicon,score
accredited,autorizado,positive,nrc,NA
accredited,autorizado,trust,nrc,NA
accueil,Accueil,positive,nrc,NA
accurate,preciso,positive,nrc,NA
accurate,preciso,trust,nrc,NA
accursed,maldito,anger,nrc,NA
accursed,maldito,fear,nrc,NA
accursed,maldito,negative,nrc,NA
accursed,maldito,sadness,nrc,NA
accusation,acusación,anger,nrc,NA
accusation,acusación,disgust,nrc,NA
accusation,acusación,negative,nrc,NA
accusative,acusativo,negative,nrc,NA
accused,acusado,anger,nrc,NA
accused,acusado,fear,nrc,NA
accused,acusado,negative,nrc,NA
accuser,acusador,anger,nrc,NA
accuser,acusador,fear,nrc,NA
accuser,acusador,negative,nrc,NA
accusing,Acusando,anger,nrc,NA
accusing,Acusando,fear,nrc,NA
accusing,Acusando,negative,nrc,NA
ace,as,positive,nrc,NA
ache,dolor,negative,nrc,NA
ache,dolor,sadness,nrc,NA
achieve,lograr,joy,nrc,NA
achieve,lograr,positive,nrc,NA
achieve,lograr,trust,nrc,NA
achievement,logro,anticipation,nrc,NA
achievement,logro,joy,nrc,NA
achievement,logro,positive,nrc,NA
achievement,logro,trust,nrc,NA
aching,dolor,negative,nrc,NA
aching,dolor,sadness,nrc,NA
acid,ácido,negative,nrc,NA
acknowledgment,reconocimiento,positive,nrc,NA
acquire,adquirir,positive,nrc,NA
acquiring,adquisidor,anticipation,nrc,NA
acquiring,adquisidor,positive,nrc,NA
acrobat,acróbata,fear,nrc,NA
acrobat,acróbata,joy,nrc,NA
acrobat,acróbata,positive,nrc,NA
acrobat,acróbata,trust,nrc,NA
action,acción,positive,nrc,NA
actionable,procesable,anger,nrc,NA
actionable,procesable,disgust,nrc,NA
actionable,procesable,negative,nrc,NA
actual,real,positive,nrc,NA
acuity,agudeza,positive,nrc,NA
acumen,perspicacia,positive,nrc,NA
adapt,adaptar,positive,nrc,NA
adaptable,adaptable,positive,nrc,NA
adder,sumador,anger,nrc,NA
adder,sumador,disgust,nrc,NA
adder,sumador,fear,nrc,NA
adder,sumador,negative,nrc,NA
adder,sumador,sadness,nrc,NA
addiction,adicción,negative,nrc,NA
addresses,Direcciones,anticipation,nrc,NA
addresses,Direcciones,positive,nrc,NA
adept,adepto,positive,nrc,NA
adequacy,adecuación,positive,nrc,NA
adhering,Adherente,trust,nrc,NA
adipose,adiposo,negative,nrc,NA
adjudicate,juzgar,fear,nrc,NA
adjudicate,juzgar,negative,nrc,NA
adjunct,adjunto,positive,nrc,NA
administrative,administrativo,trust,nrc,NA
admirable,admirable,joy,nrc,NA
admirable,admirable,positive,nrc,NA
admirable,admirable,trust,nrc,NA
admiral,almirante,positive,nrc,NA
admiral,almirante,trust,nrc,NA
admiration,admiración,joy,nrc,NA
admiration,admiración,positive,nrc,NA
admiration,admiración,trust,nrc,NA
admire,admirar,positive,nrc,NA
admire,admirar,trust,nrc,NA
admirer,admirador,positive,nrc,NA
admissible,admisible,positive,nrc,NA
admissible,admisible,trust,nrc,NA
admonition,amonestación,fear,nrc,NA
admonition,amonestación,negative,nrc,NA
adorable,adorable,joy,nrc,NA
adorable,adorable,positive,nrc,NA
adoration,adoración,joy,nrc,NA
adoration,adoración,positive,nrc,NA
adoration,adoración,trust,nrc,NA
adore,adorar,anticipation,nrc,NA
adore,adorar,joy,nrc,NA
adore,adorar,positive,nrc,NA
adore,adorar,trust,nrc,NA
adrift,a la deriva,anticipation,nrc,NA
adrift,a la deriva,fear,nrc,NA
adrift,a la deriva,negative,nrc,NA
adrift,a la deriva,sadness,nrc,NA
adulterated,espurio,negative,nrc,NA
adultery,adulterio,disgust,nrc,NA
adultery,adulterio,negative,nrc,NA
adultery,adulterio,sadness,nrc,NA
advance,avanzar,anticipation,nrc,NA
advance,avanzar,fear,nrc,NA
advance,avanzar,joy,nrc,NA
advance,avanzar,positive,nrc,NA
advance,avanzar,surprise,nrc,NA
advanced,avanzado,positive,nrc,NA
advancement,adelanto,positive,nrc,NA
advantage,ventaja,positive,nrc,NA
advantageous,ventajoso,positive,nrc,NA
advent,adviento,anticipation,nrc,NA
advent,adviento,joy,nrc,NA
advent,adviento,positive,nrc,NA
advent,adviento,trust,nrc,NA
adventure,aventuras,anticipation,nrc,NA
adventure,aventuras,positive,nrc,NA
adventurous,aventurero,positive,nrc,NA
adversary,adversario,anger,nrc,NA
adversary,adversario,negative,nrc,NA
adverse,adverso,anger,nrc,NA
adverse,adverso,disgust,nrc,NA
adverse,adverso,fear,nrc,NA
adverse,adverso,negative,nrc,NA
adverse,adverso,sadness,nrc,NA
adversity,adversidad,anger,nrc,NA
adversity,adversidad,fear,nrc,NA
adversity,adversidad,negative,nrc,NA
adversity,adversidad,sadness,nrc,NA
advice,Consejo,trust,nrc,NA
advisable,aconsejable,positive,nrc,NA
advisable,aconsejable,trust,nrc,NA
advise,aconsejar,positive,nrc,NA
advise,aconsejar,trust,nrc,NA
advised,aconsejado,trust,nrc,NA
adviser,asesor,positive,nrc,NA
adviser,asesor,trust,nrc,NA
advocacy,Abogacía,anger,nrc,NA
advocacy,Abogacía,anticipation,nrc,NA
advocacy,Abogacía,joy,nrc,NA
advocacy,Abogacía,positive,nrc,NA
advocacy,Abogacía,trust,nrc,NA
advocate,abogado,trust,nrc,NA
aesthetic,estético,positive,nrc,NA
aesthetics,estética,joy,nrc,NA
aesthetics,estética,positive,nrc,NA
affable,afable,positive,nrc,NA
affection,afecto,joy,nrc,NA
affection,afecto,positive,nrc,NA
affection,afecto,trust,nrc,NA
affiliated,asociado,positive,nrc,NA
affirm,afirmar,positive,nrc,NA
affirm,afirmar,trust,nrc,NA
affirmation,afirmación,positive,nrc,NA
affirmative,afirmativo,positive,nrc,NA
affirmatively,afirmativamente,positive,nrc,NA
affirmatively,afirmativamente,trust,nrc,NA
afflict,afligir,fear,nrc,NA
afflict,afligir,negative,nrc,NA
afflict,afligir,sadness,nrc,NA
afflicted,afligido,negative,nrc,NA
affliction,aflicción,disgust,nrc,NA
affliction,aflicción,fear,nrc,NA
affliction,aflicción,negative,nrc,NA
affliction,aflicción,sadness,nrc,NA
affluence,afluencia,joy,nrc,NA
affluence,afluencia,positive,nrc,NA
affluent,afluente,positive,nrc,NA
afford,permitirse,positive,nrc,NA
affront,afrenta,anger,nrc,NA
affront,afrenta,disgust,nrc,NA
affront,afrenta,fear,nrc,NA
affront,afrenta,negative,nrc,NA
affront,afrenta,sadness,nrc,NA
affront,afrenta,surprise,nrc,NA
afraid,asustado,fear,nrc,NA
afraid,asustado,negative,nrc,NA
aftermath,secuelas,anger,nrc,NA
aftermath,secuelas,disgust,nrc,NA
aftermath,secuelas,fear,nrc,NA
aftermath,secuelas,negative,nrc,NA
aftermath,secuelas,sadness,nrc,NA
aftertaste,regusto,negative,nrc,NA
aga,Aga,fear,nrc,NA
aga,Aga,positive,nrc,NA
aga,Aga,trust,nrc,NA
aggravated,agravado,anger,nrc,NA
aggravated,agravado,negative,nrc,NA
aggravating,agravante,anger,nrc,NA
aggravating,agravante,negative,nrc,NA
aggravating,agravante,sadness,nrc,NA
aggravation,agravación,anger,nrc,NA
aggravation,agravación,disgust,nrc,NA
aggravation,agravación,negative,nrc,NA
aggression,agresión,anger,nrc,NA
aggression,agresión,fear,nrc,NA
aggression,agresión,negative,nrc,NA
aggressive,agresivo,anger,nrc,NA
aggressive,agresivo,fear,nrc,NA
aggressive,agresivo,negative,nrc,NA
aggressor,agresor,anger,nrc,NA
aggressor,agresor,fear,nrc,NA
aggressor,agresor,negative,nrc,NA
aghast,espantado,disgust,nrc,NA
aghast,espantado,fear,nrc,NA
aghast,espantado,negative,nrc,NA
aghast,espantado,surprise,nrc,NA
agile,ágil,positive,nrc,NA
agility,agilidad,positive,nrc,NA
agitated,agitado,anger,nrc,NA
agitated,agitado,negative,nrc,NA
agitation,agitación,anger,nrc,NA
agitation,agitación,negative,nrc,NA
agonizing,agonizante,fear,nrc,NA
agonizing,agonizante,negative,nrc,NA
agony,agonía,anger,nrc,NA
agony,agonía,fear,nrc,NA
agony,agonía,negative,nrc,NA
agony,agonía,sadness,nrc,NA
agree,de acuerdo,positive,nrc,NA
agreeable,agradable,positive,nrc,NA
agreeable,agradable,trust,nrc,NA
agreed,convenido,positive,nrc,NA
agreed,convenido,trust,nrc,NA
agreeing,Acuerdo,positive,nrc,NA
agreeing,Acuerdo,trust,nrc,NA
agreement,acuerdo,positive,nrc,NA
agreement,acuerdo,trust,nrc,NA
agriculture,agricultura,positive,nrc,NA
aground,encallado,negative,nrc,NA
ahead,adelante,positive,nrc,NA
aid,ayuda,positive,nrc,NA
aiding,Ayudando,positive,nrc,NA
ail,afligir,negative,nrc,NA
ail,afligir,sadness,nrc,NA
ailing,enfermo,fear,nrc,NA
ailing,enfermo,negative,nrc,NA
ailing,enfermo,sadness,nrc,NA
aimless,sin objetivo,negative,nrc,NA
airport,aeropuerto,anticipation,nrc,NA
airs,Aires,disgust,nrc,NA
airs,Aires,negative,nrc,NA
akin,parecido,trust,nrc,NA
alabaster,alabastro,positive,nrc,NA
alarm,alarma,fear,nrc,NA
alarm,alarma,negative,nrc,NA
alarm,alarma,surprise,nrc,NA
alarming,alarmante,fear,nrc,NA
alarming,alarmante,negative,nrc,NA
alarming,alarmante,surprise,nrc,NA
alb,alba,trust,nrc,NA
alcoholism,alcoholismo,anger,nrc,NA
alcoholism,alcoholismo,disgust,nrc,NA
alcoholism,alcoholismo,fear,nrc,NA
alcoholism,alcoholismo,negative,nrc,NA
alcoholism,alcoholismo,sadness,nrc,NA
alertness,vigilancia,anticipation,nrc,NA
alertness,vigilancia,fear,nrc,NA
alertness,vigilancia,positive,nrc,NA
alertness,vigilancia,surprise,nrc,NA
alerts,Alertas,anticipation,nrc,NA
alerts,Alertas,fear,nrc,NA
alerts,Alertas,surprise,nrc,NA
alien,extraterrestre,disgust,nrc,NA
alien,extraterrestre,fear,nrc,NA
alien,extraterrestre,negative,nrc,NA
alienate,enajenar,anger,nrc,NA
alienate,enajenar,disgust,nrc,NA
alienate,enajenar,negative,nrc,NA
alienated,Alienado,negative,nrc,NA
alienated,Alienado,sadness,nrc,NA
alienation,alienación,anger,nrc,NA
alienation,alienación,disgust,nrc,NA
alienation,alienación,fear,nrc,NA
alienation,alienación,negative,nrc,NA
alienation,alienación,sadness,nrc,NA
alimentation,alimentación,positive,nrc,NA
alimony,pensión alimenticia,negative,nrc,NA
alive,viva,anticipation,nrc,NA
alive,viva,joy,nrc,NA
alive,viva,positive,nrc,NA
alive,viva,trust,nrc,NA
allay,aliviar,positive,nrc,NA
allegation,alegación,anger,nrc,NA
allegation,alegación,negative,nrc,NA
allege,alegar,negative,nrc,NA
allegiance,lealtad,positive,nrc,NA
allegiance,lealtad,trust,nrc,NA
allegro,alegro,positive,nrc,NA
alleviate,aliviar,positive,nrc,NA
alleviation,alivio,positive,nrc,NA
alliance,Alianza,trust,nrc,NA
allied,aliado,positive,nrc,NA
allied,aliado,trust,nrc,NA
allowable,admisible,positive,nrc,NA
allure,seducir,anticipation,nrc,NA
allure,seducir,joy,nrc,NA
allure,seducir,positive,nrc,NA
allure,seducir,surprise,nrc,NA
alluring,seductor,positive,nrc,NA
ally,aliado,positive,nrc,NA
ally,aliado,trust,nrc,NA
almighty,todopoderoso,positive,nrc,NA
aloha,Aloha,anticipation,nrc,NA
aloha,Aloha,joy,nrc,NA
aloha,Aloha,positive,nrc,NA
aloof,a distancia,negative,nrc,NA
altercation,altercado,anger,nrc,NA
altercation,altercado,negative,nrc,NA
amaze,asombro,surprise,nrc,NA
amazingly,espantosamente,joy,nrc,NA
amazingly,espantosamente,positive,nrc,NA
amazingly,espantosamente,surprise,nrc,NA
ambassador,embajador,positive,nrc,NA
ambassador,embajador,trust,nrc,NA
ambiguous,ambiguo,negative,nrc,NA
ambition,ambición,anticipation,nrc,NA
ambition,ambición,joy,nrc,NA
ambition,ambición,positive,nrc,NA
ambition,ambición,trust,nrc,NA
ambulance,ambulancia,fear,nrc,NA
ambulance,ambulancia,trust,nrc,NA
ambush,emboscada,anger,nrc,NA
ambush,emboscada,fear,nrc,NA
ambush,emboscada,negative,nrc,NA
ambush,emboscada,surprise,nrc,NA
ameliorate,mejorar,positive,nrc,NA
amen,Amén,joy,nrc,NA
amen,Amén,positive,nrc,NA
amen,Amén,trust,nrc,NA
amenable,dócil,positive,nrc,NA
amend,enmendar,positive,nrc,NA
amends,compensación,positive,nrc,NA
amenity,amenidad,positive,nrc,NA
amiable,amable,positive,nrc,NA
amicable,amistoso,joy,nrc,NA
amicable,amistoso,positive,nrc,NA
ammonia,amoníaco,disgust,nrc,NA
amnesia,amnesia,negative,nrc,NA
amnesty,amnistía,joy,nrc,NA
amnesty,amnistía,positive,nrc,NA
amortization,amortización,trust,nrc,NA
amour,aventura amorosa,anticipation,nrc,NA
amour,aventura amorosa,joy,nrc,NA
amour,aventura amorosa,positive,nrc,NA
amour,aventura amorosa,trust,nrc,NA
amphetamines,Anfetaminas,disgust,nrc,NA
amphetamines,Anfetaminas,negative,nrc,NA
amuse,entretener,joy,nrc,NA
amuse,entretener,positive,nrc,NA
amused,divertido,joy,nrc,NA
amused,divertido,positive,nrc,NA
amusement,diversión,joy,nrc,NA
amusement,diversión,positive,nrc,NA
amusing,divertido,joy,nrc,NA
amusing,divertido,positive,nrc,NA
anaconda,anaconda,disgust,nrc,NA
anaconda,anaconda,fear,nrc,NA
anaconda,anaconda,negative,nrc,NA
anal,anal,negative,nrc,NA
analyst,analista,anticipation,nrc,NA
analyst,analista,positive,nrc,NA
analyst,analista,trust,nrc,NA
anarchism,anarquismo,anger,nrc,NA
anarchism,anarquismo,fear,nrc,NA
anarchism,anarquismo,negative,nrc,NA
anarchist,anarquista,anger,nrc,NA
anarchist,anarquista,fear,nrc,NA
anarchist,anarquista,negative,nrc,NA
anarchy,anarquía,anger,nrc,NA
anarchy,anarquía,fear,nrc,NA
anarchy,anarquía,negative,nrc,NA
anathema,anatema,anger,nrc,NA
anathema,anatema,disgust,nrc,NA
anathema,anatema,fear,nrc,NA
anathema,anatema,negative,nrc,NA
anathema,anatema,sadness,nrc,NA
ancestral,ancestral,trust,nrc,NA
anchor,ancla,positive,nrc,NA
anchorage,anclaje,positive,nrc,NA
anchorage,anclaje,sadness,nrc,NA
ancient,antiguo,negative,nrc,NA
angel,ángel,anticipation,nrc,NA
angel,ángel,joy,nrc,NA
angel,ángel,positive,nrc,NA
angel,ángel,surprise,nrc,NA
angel,ángel,trust,nrc,NA
angelic,angelical,joy,nrc,NA
angelic,angelical,positive,nrc,NA
angelic,angelical,trust,nrc,NA
anger,enfado,anger,nrc,NA
anger,enfado,negative,nrc,NA
angina,angina,fear,nrc,NA
angina,angina,negative,nrc,NA
angling,pesca con caña,anticipation,nrc,NA
angling,pesca con caña,negative,nrc,NA
angry,enojado,anger,nrc,NA
angry,enojado,disgust,nrc,NA
angry,enojado,negative,nrc,NA
anguish,angustia,anger,nrc,NA
anguish,angustia,fear,nrc,NA
anguish,angustia,negative,nrc,NA
anguish,angustia,sadness,nrc,NA
animate,animar,positive,nrc,NA
animated,animado,joy,nrc,NA
animated,animado,positive,nrc,NA
animosity,animosidad,anger,nrc,NA
animosity,animosidad,disgust,nrc,NA
animosity,animosidad,fear,nrc,NA
animosity,animosidad,negative,nrc,NA
animosity,animosidad,sadness,nrc,NA
animus,ánimo,anger,nrc,NA
animus,ánimo,negative,nrc,NA
annihilate,aniquilar,anger,nrc,NA
annihilate,aniquilar,fear,nrc,NA
annihilate,aniquilar,negative,nrc,NA
annihilated,Aniquilado,anger,nrc,NA
annihilated,Aniquilado,fear,nrc,NA
annihilated,Aniquilado,negative,nrc,NA
annihilated,Aniquilado,sadness,nrc,NA
annihilation,aniquilación,anger,nrc,NA
annihilation,aniquilación,fear,nrc,NA
annihilation,aniquilación,negative,nrc,NA
annihilation,aniquilación,sadness,nrc,NA
announcement,anuncio,anticipation,nrc,NA
annoy,molestar,anger,nrc,NA
annoy,molestar,disgust,nrc,NA
annoy,molestar,negative,nrc,NA
annoyance,molestia,anger,nrc,NA
annoyance,molestia,disgust,nrc,NA
annoyance,molestia,negative,nrc,NA
annoying,molesto,anger,nrc,NA
annoying,molesto,negative,nrc,NA
annul,anular,negative,nrc,NA
annulment,anulación,negative,nrc,NA
annulment,anulación,sadness,nrc,NA
anomaly,anomalía,fear,nrc,NA
anomaly,anomalía,negative,nrc,NA
anomaly,anomalía,surprise,nrc,NA
anonymous,anónimo,negative,nrc,NA
answerable,responsable,trust,nrc,NA
antagonism,antagonismo,anger,nrc,NA
antagonism,antagonismo,negative,nrc,NA
antagonist,antagonista,anger,nrc,NA
antagonist,antagonista,negative,nrc,NA
antagonistic,antagonista,anger,nrc,NA
antagonistic,antagonista,disgust,nrc,NA
antagonistic,antagonista,negative,nrc,NA
anthrax,ántrax,disgust,nrc,NA
anthrax,ántrax,fear,nrc,NA
anthrax,ántrax,negative,nrc,NA
anthrax,ántrax,sadness,nrc,NA
antibiotics,Antibióticos,positive,nrc,NA
antichrist,antecristo,anger,nrc,NA
antichrist,antecristo,disgust,nrc,NA
antichrist,antecristo,fear,nrc,NA
antichrist,antecristo,negative,nrc,NA
anticipation,anticipación,anticipation,nrc,NA
anticipatory,anticipado,anticipation,nrc,NA
antidote,antídoto,anticipation,nrc,NA
antidote,antídoto,positive,nrc,NA
antidote,antídoto,trust,nrc,NA
antifungal,Antifúngico,positive,nrc,NA
antifungal,Antifúngico,trust,nrc,NA
antipathy,antipatía,anger,nrc,NA
antipathy,antipatía,disgust,nrc,NA
antipathy,antipatía,negative,nrc,NA
antiquated,anticuado,negative,nrc,NA
antique,antiguo,positive,nrc,NA
antiseptic,antiséptico,positive,nrc,NA
antiseptic,antiséptico,trust,nrc,NA
antisocial,antisocial,anger,nrc,NA
antisocial,antisocial,disgust,nrc,NA
antisocial,antisocial,fear,nrc,NA
antisocial,antisocial,negative,nrc,NA
antisocial,antisocial,sadness,nrc,NA
antithesis,antítesis,anger,nrc,NA
antithesis,antítesis,negative,nrc,NA
anxiety,ansiedad,anger,nrc,NA
anxiety,ansiedad,anticipation,nrc,NA
anxiety,ansiedad,fear,nrc,NA
anxiety,ansiedad,negative,nrc,NA
anxiety,ansiedad,sadness,nrc,NA
anxious,ansioso,anticipation,nrc,NA
anxious,ansioso,fear,nrc,NA
anxious,ansioso,negative,nrc,NA
apache,apache,fear,nrc,NA
apache,apache,negative,nrc,NA
apathetic,apático,negative,nrc,NA
apathetic,apático,sadness,nrc,NA
apathy,apatía,negative,nrc,NA
apathy,apatía,sadness,nrc,NA
aphid,áfido,disgust,nrc,NA
aphid,áfido,negative,nrc,NA
aplomb,aplomo,positive,nrc,NA
apologetic,apologético,positive,nrc,NA
apologetic,apologético,trust,nrc,NA
apologize,pedir disculpas,positive,nrc,NA
apologize,pedir disculpas,sadness,nrc,NA
apologize,pedir disculpas,trust,nrc,NA
apology,disculpa,positive,nrc,NA
apostle,apóstol,positive,nrc,NA
apostle,apóstol,trust,nrc,NA
apostolic,apostólico,trust,nrc,NA
appalling,pésimo,disgust,nrc,NA
appalling,pésimo,fear,nrc,NA
appalling,pésimo,negative,nrc,NA
apparition,aparición,fear,nrc,NA
apparition,aparición,surprise,nrc,NA
appeal,apelación,anticipation,nrc,NA
appendicitis,apendicitis,fear,nrc,NA
appendicitis,apendicitis,negative,nrc,NA
appendicitis,apendicitis,sadness,nrc,NA
applause,aplausos,joy,nrc,NA
applause,aplausos,positive,nrc,NA
applause,aplausos,surprise,nrc,NA
applause,aplausos,trust,nrc,NA
applicant,solicitante,anticipation,nrc,NA
appreciation,apreciación,joy,nrc,NA
appreciation,apreciación,positive,nrc,NA
appreciation,apreciación,trust,nrc,NA
apprehend,aprehender,fear,nrc,NA
apprehension,detención,fear,nrc,NA
apprehension,detención,negative,nrc,NA
apprehensive,aprensivo,anticipation,nrc,NA
apprehensive,aprensivo,fear,nrc,NA
apprehensive,aprensivo,negative,nrc,NA
apprentice,aprendiz,trust,nrc,NA
approaching,que se acerca,anticipation,nrc,NA
approbation,aprobación,positive,nrc,NA
approbation,aprobación,trust,nrc,NA
appropriation,apropiación,negative,nrc,NA
approval,aprobación,positive,nrc,NA
approve,aprobar,joy,nrc,NA
approve,aprobar,positive,nrc,NA
approve,aprobar,trust,nrc,NA
approving,aprobatorio,positive,nrc,NA
apt,apto,positive,nrc,NA
aptitude,aptitud,positive,nrc,NA
arbiter,árbitro,trust,nrc,NA
arbitration,arbitraje,anticipation,nrc,NA
arbitrator,árbitro,trust,nrc,NA
archaeology,arqueología,anticipation,nrc,NA
archaeology,arqueología,positive,nrc,NA
archaic,arcaico,negative,nrc,NA
architecture,arquitectura,trust,nrc,NA
ardent,ardiente,anticipation,nrc,NA
ardent,ardiente,joy,nrc,NA
ardent,ardiente,positive,nrc,NA
ardor,ardor,positive,nrc,NA
arduous,arduo,negative,nrc,NA
argue,discutir,anger,nrc,NA
argue,discutir,negative,nrc,NA
argument,argumento,anger,nrc,NA
argument,argumento,negative,nrc,NA
argumentation,argumentación,anger,nrc,NA
argumentative,discutidor,negative,nrc,NA
arguments,Argumentos,anger,nrc,NA
arid,árido,negative,nrc,NA
arid,árido,sadness,nrc,NA
aristocracy,aristocracia,positive,nrc,NA
aristocratic,aristocrático,positive,nrc,NA
armament,armamento,anger,nrc,NA
armament,armamento,fear,nrc,NA
armaments,armamento,fear,nrc,NA
armaments,armamento,negative,nrc,NA
armed,armado,anger,nrc,NA
armed,armado,fear,nrc,NA
armed,armado,negative,nrc,NA
armed,armado,positive,nrc,NA
armor,armadura,fear,nrc,NA
armor,armadura,positive,nrc,NA
armor,armadura,trust,nrc,NA
armored,blindado,fear,nrc,NA
armory,arsenal,trust,nrc,NA
aroma,aroma,positive,nrc,NA
arouse,despertar,anticipation,nrc,NA
arouse,despertar,positive,nrc,NA
arraignment,acusación,anger,nrc,NA
arraignment,acusación,fear,nrc,NA
arraignment,acusación,negative,nrc,NA
arraignment,acusación,sadness,nrc,NA
array,formación,positive,nrc,NA
arrears,atrasos,negative,nrc,NA
arrest,arrestar,negative,nrc,NA
arrival,llegada,anticipation,nrc,NA
arrive,llegar,anticipation,nrc,NA
arrogance,arrogancia,negative,nrc,NA
arrogant,arrogante,anger,nrc,NA
arrogant,arrogante,disgust,nrc,NA
arrogant,arrogante,negative,nrc,NA
arsenic,arsénico,disgust,nrc,NA
arsenic,arsénico,fear,nrc,NA
arsenic,arsénico,negative,nrc,NA
arsenic,arsénico,sadness,nrc,NA
arson,incendio provocado,anger,nrc,NA
arson,incendio provocado,fear,nrc,NA
arson,incendio provocado,negative,nrc,NA
art,art,anticipation,nrc,NA
art,art,joy,nrc,NA
art,art,positive,nrc,NA
art,art,sadness,nrc,NA
